_id,מפתח לפוליגון תכנית,מספר תוכנית,שם תוכנית,שלב תכנוני,יזם תכנון,סמל יישוב,יישוב,תאריך קיום תנאי סף,תאריך פרסום להפקדה ברשומות,תאריך פרסום לאישור ברשומות,קישור לאתר רשות מקרקעי ישראל,קישור לאתר מנהל תכנון,יחד פוטנציאל לשיווק
922,2805301,ג/10392,הרחבת מאור חיים,תוקף,משרד הבינוי והשיכון,8000,צפת,-,30/03/2000,09/05/2001,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2003975,,219
923,2805401,ג/10483,גן ישראל,תוקף,משרד הבינוי והשיכון,874,מגדל העמק,-,14/05/2000,03/02/2003,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2004339,,5
924,2806001,ג/13132,מסילות דרום- אקליפטוס,תוקף,משרד הבינוי והשיכון,9200,בית שאן,-,17/08/2005,25/09/2008,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2007863,,10
925,2806601,ג/14151,בן צבי,תוקף,משרד הבינוי והשיכון,7700,עפולה,-,31/10/2004,19/06/2006,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2006586,,19
926,2806701,ג/12385,תפארת טבריה רוויזיה,תוקף,משרד הבינוי והשיכון,6700,טבריה,-,20/06/2002,16/01/2003,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2004703,,8
927,2807501,ג/9427,שכונה דרומית,תוקף,משרד הבינוי והשיכון,65,מגדל,-,13/07/1997,22/10/1998,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2002500,,8
928,2808001,ג/16101,הבוסתן מזרח,תוקף,משרד הבינוי והשיכון,2034,חצור הגלילית,-,30/04/2007,20/03/2008,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2007620,,1
929,2808801,מכ/298,שטח הכפר,תוקף,משרד הבינוי והשיכון,2100,טירת הכרמל,-,12/07/1990,06/06/1991,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=3000282,,65
930,2808901,ג/במ/244,חיילים מ,תוקף,משרד הבינוי והשיכון,1296,כסרא-סמיע,-,26/07/1995,15/03/1996,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2003406,,15
931,2809001,ג/במ/55,שכונה מזרחית,תוקף,משרד הבינוי והשיכון,240,יקנעם עלית,-,03/06/1991,13/08/1992,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2000805,,25
932,2809101,ג/במ/290,שכ' דרומית,תוקף,משרד הבינוי והשיכון,240,יקנעם עלית,-,01/02/1996,13/03/1997,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2002058,,25
933,2809901,חפ/במ/1867א,מורדות נוה שאנן,תוקף,משרד הבינוי והשיכון,4000,חיפה,-,11/02/1993,10/03/1994,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=3003086,,214
934,2810001,חפ/במ/1768/א,קרית שמואל,תוקף,משרד הבינוי והשיכון,4000,חיפה,-,08/02/1996,17/04/1997,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=3002800,,29
935,2810701,מכ/518,גלי כרמל,תוקף,משרד הבינוי והשיכון,2100,טירת הכרמל,-,28/10/2002,01/08/2004,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=3004568,,320
936,2810901,מכ/345,מרכז מסחרי,תוקף,משרד הבינוי והשיכון,2100,טירת הכרמל,-,08/02/1996,17/11/1996,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=3002612,,60
937,2811501,ג/8959,חיילים מ,תוקף,משרד הבינוי והשיכון,485,ג'וליס,-,18/06/1996,17/04/1997,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2001817,,9
938,2811601,ג/במ/62,צפון קורן א',תוקף,משרד הבינוי והשיכון,1063,מעלות תרשיחא,-,28/03/1991,18/07/1991,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2005141,,17
939,2811901,ק/408,מ.קורדני,תוקף,משרד הבינוי והשיכון,8200,קרית מוצקין,-,15/10/2002,31/08/2005,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=3005277,,144
940,2812201,ג/9680,שער הגיא,תוקף,משרד הבינוי והשיכון,240,יקנעם עלית,-,07/03/2002,06/07/2004,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2050359,,130
941,2812601,ג/5446,חיילים מ - מערב,תוקף,משרד הבינוי והשיכון,480,בית ג'אן,-,27/08/1989,21/09/1995,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2003770,,7
942,2813501,חפ/1811,ק.ויזניץ,תוקף,משרד הבינוי והשיכון,4000,חיפה,-,14/08/1996,01/12/1998,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=3003457,,86
943,2813701,ג/10024,חילים מ,תוקף,משרד הבינוי והשיכון,481,מגאר,-,03/08/2000,12/03/2001,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2050372,,164
944,2813801,ג/10449,חיילים מ,תוקף,משרד הבינוי והשיכון,543,ראמה,-,23/05/2004,16/09/2013,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2009877,,76
945,2814101,ג/10804,חיילים מ,תוקף,משרד הבינוי והשיכון,473,אבו סנאן,-,02/08/2001,26/08/2003,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2050428,,87
946,2814301,ג/11150,חיילים מ -צפון מערב,תוקף,משרד הבינוי והשיכון,481,מגאר,-,13/09/2001,04/02/2002,http://apps.land.gov.il/IturTabot2/taba2.aspx?tochnitId=2050443,,170
