_id,סמל_ישוב,שם_ישוב,שם_ישוב_לועזי,סמל_נפה,שם_נפה,סמל_לשכת_מנא,לשכה,סמל_מועצה_איזורית,שם_מועצה
66,3824 ,עמיחי ,AMMIHAY ,74,ראמאללה ,11,ירושלים ,73,מטה בנימין
67,779 ,עמינדב ,AMMINADAV ,11,ירושלים ,11,ירושלים ,26,מטה יהודה
68,773 ,עמיקם ,AMMIQAM ,32,חדרה ,32,חדרה ,45,אלונה
69,1253 ,אמנון ,AMNUN ,22,כנרת ,22,טבריה ,55,מבואות החרמון
70,708 ,עמקה ,AMQA ,24,עכו ,24,עכו ,4,מטה אשר
71,1212 ,עמוקה ,AMUQQA ,21,צפת ,21,צפת ,2,מרום הגליל
72,4012 ,אניעם ,ANI'AM ,29,גולן ,22,טבריה ,71,גולן
73,637 ,ערערה ,AR'ARA ,32,חדרה ,32,חדרה ,0,
74,1192 ,ערערה-בנגב ,AR'ARA-BANEGEV ,62,באר שבע ,62,באר שבע ,0,
75,2560 ,ערד ,ARAD ,62,באר שבע ,62,באר שבע ,0,
76,1246 ,עראמשה ,ARAMSHA ,24,עכו ,24,עכו ,4,מטה אשר
77,701 ,ארבל ,ARBEL ,22,כנרת ,22,טבריה ,3,הגליל התחתון
78,3598 ,ארגמן ,ARGAMAN ,75,ירדן )יריחו( ,23,עפולה ,75,ערבות הירדן
79,3570 ,אריאל ,ARI'EL ,73,טול כרם ,48,אריאל ,0,
80,1335 ,ערב אל נעים ,ARRAB AL NAIM ,24,עכו ,20,כרמיאל ,56,משגב
81,531 ,עראבה ,ARRABE ,24,עכו ,24,עכו ,0,
82,1324 ,ארסוף ,ARSUF ,41,השרון ,41,נתניה ,19,חוף השרון
83,593 ,ערוגות ,ARUGOT ,61,אשקלון ,61,אשקלון ,33,באר טוביה
84,3861 ,עשהאל ,ASA'EL ,77,חברון ,11,ירושלים ,78,הר חברון
85,960 ,אסד (שבט) ,ASAD ,62,באר שבע ,62,באר שבע ,0,
86,3754 ,אספר ,ASEFAR ,77,חברון ,11,ירושלים ,76,גוש עציון
87,591 ,עשרת ,ASERET ,44,רחובות ,44,רחובות ,32,גדרות
88,1152 ,אשלים ,ASHALIM ,62,באר שבע ,62,באר שבע ,48,רמת נגב
89,70 ,אשדוד ,ASHDOD ,61,אשקלון ,69,אשדוד ,0,
90,199 ,אשדות יעקב (איחוד) ,ASHDOT YA'AQOV(IHUD) ,22,כנרת ,22,טבריה ,6,עמק הירדן
91,188 ,אשדות יעקב (מאוחד) ,ASHDOT YA'AQOV(ME'UH ,22,כנרת ,22,טבריה ,6,עמק הירדן
92,1256 ,אשרת ,ASHERAT ,24,עכו ,24,עכו ,4,מטה אשר
93,7100 ,אשקלון ,ASHQELON ,61,אשקלון ,61,אשקלון ,0,
94,969 ,עטאוונה (שבט) ,ATAWNE ,62,באר שבע ,62,באר שבע ,0,
95,3658 ,עטרת ,ATERET ,74,ראמאללה ,11,ירושלים ,73,מטה בנימין
96,53 ,עתלית ,ATLIT ,32,חדרה ,32,חדרה ,15,חוף הכרמל
97,965 ,אטרש (שבט) ,ATRASH ,62,באר שבע ,62,באר שבע ,0,
98,917 ,עצמון שגב ,ATSMON-SEGEV ,24,עכו ,20,כרמיאל ,56,משגב
99,892 ,עבדון ,AVDON ,24,עכו ,24,עכו ,52,מעלה יוסף
100,679 ,אביאל ,AVI'EL ,32,חדרה ,32,חדרה ,45,אלונה
101,1070 ,אביעזר ,AVI'EZER ,11,ירושלים ,13,בית שמש ,26,מטה יהודה
102,3869 ,אביגיל ,AVIGAYIL ,77,חברון ,11,ירושלים ,78,הר חברון
103,819 ,אביגדור ,AVIGEDOR ,61,אשקלון ,61,אשקלון ,33,באר טוביה
104,175 ,אביחיל ,AVIHAYIL ,41,השרון ,41,נתניה ,16,עמק חפר
105,2052 ,אביטל ,AVITAL ,23,עפולה ,23,עפולה ,8,הגלבוע
106,1115 ,אביבים ,AVIVIM ,21,צפת ,21,צפת ,2,מרום הגליל
107,4011 ,אבני איתן ,AVNE ETAN ,29,גולן ,22,טבריה ,71,גולן
108,3793 ,אבני חפץ ,AVNE HEFEZ ,73,טול כרם ,41,נתניה ,72,שומרון
109,1311 ,אבשלום ,AVSHALOM ,62,באר שבע ,62,באר שבע ,38,אשכול
110,1275 ,אבטליון ,AVTALYON ,24,עכו ,20,כרמיאל ,56,משגב
111,156 ,עיינות ,AYANOT ,44,רחובות ,44,רחובות ,27,גן רווה
112,77 ,איילת השחר ,AYYELET HASHAHAR ,21,צפת ,21,צפת ,1,הגליל העליון
113,711 ,עזריה ,AZARYA ,43,רמלה ,43,רמלה ,30,גזר
114,565 ,אזור ,AZOR ,53,חולון ,53,חולון ,0,
115,837 ,עזריאל ,AZRI'EL ,41,השרון ,41,נתניה ,18,לב השרון
116,817 ,עזריקם ,AZRIQAM ,61,אשקלון ,61,אשקלון ,33,באר טוביה
117,2043 ,בחן ,BAHAN ,41,השרון ,41,נתניה ,16,עמק חפר
118,94 ,בלפוריה ,BALFURIYYA ,23,עפולה ,23,עפולה ,9,עמק יזרעאל
119,6000 ,באקה אל-גרביה ,BAQA AL-GHARBIYYE ,32,חדרה ,32,חדרה ,0,
120,823 ,בר גיורא ,BAR GIYYORA ,11,ירושלים ,13,בית שמש ,26,מטה יהודה
121,3499 ,בר כוכבא ,BAR KOKHVA ,76,בית לחם ,11,ירושלים ,76,גוש עציון
122,1191 ,בר יוחאי ,BAR YOHAY ,21,צפת ,21,צפת ,2,מרום הגליל
123,667 ,ברעם ,BAR'AM ,21,צפת ,21,צפת ,1,הגליל העליון
124,141 ,ברק ,BARAQ ,23,עפולה ,23,עפולה ,8,הגלבוע
125,2038 ,ברקת ,BAREQET ,42,פתח תקווה ,42,פתח תקוה ,25,חבל מודיעין
126,3654 ,ברקן ,BARQAN ,73,טול כרם ,48,אריאל ,72,שומרון
127,617 ,ברקאי ,BARQAY ,32,חדרה ,32,חדרה ,14,מנשה
128,1326 ,בסמה ,BASMA ,32,חדרה ,32,חדרה ,0,
129,944 ,בסמת טבעון ,BASMAT TAB'UN ,23,עפולה ,23,עפולה ,0,
130,3794 ,בת עין ,BAT AYIN ,76,בית לחם ,11,ירושלים ,76,גוש עציון
131,1323 ,בת הדר ,BAT HADAR ,61,אשקלון ,61,אשקלון ,36,חוף אשקלון
132,1319 ,בת חפר ,BAT HEFER ,41,השרון ,41,נתניה ,16,עמק חפר
133,1361 ,בת חן ,BAT HEN ,41,השרון ,41,נתניה ,16,עמק חפר
134,33 ,בת שלמה ,BAT SHELOMO ,32,חדרה ,32,חדרה ,15,חוף הכרמל
135,6200 ,בת ים ,BAT YAM ,53,חולון ,53,חולון ,0,
136,389 ,בצרה ,BAZRA ,41,השרון ,41,נתניה ,19,חוף השרון
137,1278 ,באר מילכה ,BE'ER MILKA ,62,באר שבע ,62,באר שבע ,48,רמת נגב
138,21 ,באר אורה ,BE'ER ORA ,62,באר שבע ,63,אילת ,53,חבל אילות
139,9000 ,באר שבע ,BE'ER SHEVA ,62,באר שבע ,62,באר שבע ,0,
140,155 ,באר טוביה ,BE'ER TUVEYA ,61,אשקלון ,61,אשקלון ,33,באר טוביה
141,2530 ,באר יעקב ,BE'ER YA'AQOV ,43,רמלה ,43,רמלה ,0,
142,399 ,בארי ,BE'ERI ,62,באר שבע ,62,באר שבע ,38,אשכול
143,450 ,בארות יצחק ,BE'EROT YIZHAQ ,42,פתח תקווה ,42,פתח תקוה ,25,חבל מודיעין
144,697 ,בארותיים ,BE'EROTAYIM ,41,השרון ,41,נתניה ,16,עמק חפר
145,1376 ,באר גנים ,BEER GANNIM ,62,באר שבע ,61,אשקלון ,36,חוף אשקלון
146,480 ,בית ג'ן ,BEIT JANN ,24,עכו ,20,כרמיאל ,0,
147,712 ,בן עמי ,BEN AMMI ,24,עכו ,24,עכו ,4,מטה אשר
148,2013 ,בן שמן (מושב) ,BEN SHEMEN (MOSHAV) ,43,רמלה ,43,רמלה ,25,חבל מודיעין
149,1084 ,בן שמן (כפר נוער) ,BEN SHEMEN(K.NO'AR) ,43,רמלה ,43,רמלה ,25,חבל מודיעין
150,760 ,בן זכאי ,BEN ZAKKAY ,44,רחובות ,44,רחובות ,29,חבל יבנה
151,685 ,בניה ,BENAYA ,44,רחובות ,44,רחובות ,28,ברנר
152,448 ,בני עטרות ,BENE ATAROT ,42,פתח תקווה ,42,פתח תקוה ,25,חבל מודיעין
153,1066 ,בני עיש ,BENE AYISH ,44,רחובות ,44,רחובות ,0,
154,6100 ,בני ברק ,BENE BERAQ ,52,רמת גן ,54,בני ברק ,0,
155,592 ,בני דרום ,BENE DAROM ,44,רחובות ,44,רחובות ,29,חבל יבנה
156,386 ,בני דרור ,BENE DEROR ,41,השרון ,41,נתניה ,18,לב השרון
157,1363 ,בני נצרים ,BENE NEZARIM ,62,באר שבע ,62,באר שבע ,38,אשכול
