_id,טבלה,סמל_ישוב,שם_ישוב,שם_ישוב_לועזי,סמל_נפה,שם_נפה,סמל_לשכת_מנא,לשכה,סמל_מועצה_איזורית,שם_מועצה
50,טבלת ישובים    ,403,אורים                    ,URIM                     ,62,באר שבע             ,62,באר שבע                  ,38,אשכול
51,טבלת ישובים    ,882,אורנים                   ,ORANIM                   ,31,חיפה                ,31,חיפה                     ,12,זבולון
52,טבלת ישובים    ,3760,אורנית                   ,ORANIT                   ,73,טול כרם             ,349,ראש העין                 ,0,
53,טבלת ישובים    ,278,אושה                     ,USHA                     ,31,חיפה                ,31,חיפה                     ,12,זבולון
54,טבלת ישובים    ,565,אזור                     ,AZOR                     ,53,חולון               ,53,חולון                    ,0,
55,טבלת ישובים    ,1157,אחווה                    ,AHAWA                    ,61,אשקלון              ,61,אשקלון                   ,33,באר טוביה
56,טבלת ישובים    ,821,אחוזם                    ,AHUZZAM                  ,61,אשקלון              ,61,אשקלון                   ,50,לכיש
57,טבלת ישובים    ,1330,אחוזת ברק                ,AHUZZAT BARAQ            ,23,עפולה               ,23,עפולה                    ,9,עמק יזרעאל
58,טבלת ישובים    ,785,אחיהוד                   ,AHIHUD                   ,24,עכו                 ,24,עכו                      ,4,מטה אשר
59,טבלת ישובים    ,850,אחיטוב                   ,AHITUV                   ,41,השרון               ,41,נתניה                    ,16,עמק חפר
60,טבלת ישובים    ,804,אחיסמך                   ,AHISAMAKH                ,43,רמלה                ,43,רמלה                     ,25,חבל מודיעין
61,טבלת ישובים    ,797,אחיעזר                   ,AHI'EZER                 ,43,רמלה                ,43,רמלה                     ,40,שדות דן
62,טבלת ישובים    ,965,אטרש )שבט(               ,ATRASH                   ,62,באר שבע             ,62,באר שבע                  ,0,
63,טבלת ישובים    ,338,איבים                    ,IBBIM                    ,61,אשקלון              ,61,אשקלון                   ,37,שער הנגב
64,טבלת ישובים    ,716,אייל                     ,EYAL                     ,42,פתח תקווה           ,47,כפר סבא                  ,20,דרום השרון
65,טבלת ישובים    ,77,איילת השחר               ,AYYELET HASHAHAR         ,21,צפת                 ,21,צפת                      ,1,הגליל העליון
66,טבלת ישובים    ,294,אילון                    ,ELON                     ,24,עכו                 ,24,עכו                      ,4,מטה אשר
67,טבלת ישובים    ,1126,אילות                    ,ELOT                     ,62,באר שבע             ,63,אילת                     ,53,חבל אילות
